symbol,type,strike,expiration,alert_time,entry_price,size,premium,polygon_ticker,samples,peak_price,peak_time,peak_return_pct,minutes_to_peak,hit_15_pct,hit_20_pct,hit_25_pct
SMCI,C,34.0,2025-12-05,2025-11-25T15:10:00-05:00,0.81,5000,405000,O:SMCI251205C00034000,748.0,1.15,2025-11-26T09:37:00-05:00,41.97530864197529,1107.0,True,True,True
AI,C,15.0,2025-12-05,2025-11-25T15:10:00-05:00,0.63,5000,315000,O:AI251205C00015000,328.0,0.75,2025-11-26T09:46:00-05:00,19.047619047619047,1116.0,True,False,False
AAPL,P,267.5,2025-12-05,2025-11-25T15:24:00-05:00,0.89,4620,411000,O:AAPL251205P00267500,771.0,0.96,2025-11-25T15:58:00-05:00,7.865168539325837,34.0,False,False,False
AAPL,C,287.5,2025-12-05,2025-11-25T15:24:00-05:00,0.61,5000,305000,O:AAPL251205C00287500,1191.0,2.33,2025-12-02T11:00:00-05:00,281.96721311475414,9816.0,True,True,True
SMCI,C,33.5,2025-12-05,2025-11-25T15:24:00-05:00,0.94,5000,470000,O:SMCI251205C00033500,564.0,1.38,2025-12-02T09:58:00-05:00,46.80851063829787,9754.0,True,True,True
SMCI,C,34.0,2025-12-05,2025-11-25T15:24:00-05:00,0.82,5000,410000,O:SMCI251205C00034000,746.0,1.15,2025-11-26T09:37:00-05:00,40.24390243902439,1093.0,True,True,True
AI,C,15.0,2025-12-05,2025-11-25T15:24:00-05:00,0.63,5000,315000,O:AI251205C00015000,327.0,0.75,2025-11-26T09:46:00-05:00,19.047619047619047,1102.0,True,False,False
GOOGL,C,350.0,2025-12-05,2025-11-25T15:41:00-05:00,0.78,3894,304000,O:GOOGL251205C00350000,475.0,1.01,2025-11-25T15:56:00-05:00,29.487179487179482,15.0,True,True,True
SMCI,C,34.0,2025-12-05,2025-11-25T15:41:00-05:00,0.83,5000,415000,O:SMCI251205C00034000,744.0,1.15,2025-11-26T09:37:00-05:00,38.554216867469876,1076.0,True,True,True
IWM,P,222.0,2025-12-03,2025-11-25T16:07:00-05:00,0.69,5000,345000,O:IWM251203P00222000,4.0,0.05,2025-11-26T09:58:00-05:00,-92.75362318840578,1071.0,False,False,False
GOOGL,P,295.0,2025-12-05,2025-11-25T16:07:00-05:00,0.8,5000,400000,O:GOOGL251205P00295000,459.0,1.16,2025-11-26T10:25:00-05:00,44.999999999999986,1098.0,True,True,True
SOFI,P,28.5,2025-12-05,2025-11-26T15:17:00-05:00,0.86,3526,303000,O:SOFI251205P00028500,710.0,1.03,2025-11-26T15:58:00-05:00,19.76744186046512,41.0,True,False,False
FCX,C,45.0,2025-12-12,2025-11-26T15:29:00-05:00,0.36,8218,296000,O:FCX251212C00045000,260.0,0.75,2025-12-01T09:54:00-05:00,108.33333333333334,6865.0,True,True,True
GDX,P,76.5,2025-12-05,2025-11-26T15:41:00-05:00,0.42,13237,556000,O:GDX251205P00076500,22.0,0.46,2025-11-28T09:43:00-05:00,9.523809523809533,2522.0,False,False,False
MRNA,C,25.5,2025-12-05,2025-11-26T15:41:00-05:00,0.67,15344,1028000,O:MRNA251205C00025500,203.0,1.0,2025-11-28T12:59:00-05:00,49.253731343283576,2718.0,True,True,True
MRNA,C,26.0,2025-12-05,2025-11-26T15:41:00-05:00,0.5,8702,435000,O:MRNA251205C00026000,176.0,0.77,2025-11-28T12:46:00-05:00,54.0,2705.0,True,True,True
MRNA,C,27.0,2025-12-05,2025-11-26T15:41:00-05:00,0.26,14658,381000,O:MRNA251205C00027000,129.0,0.36,2025-11-28T09:30:00-05:00,38.46153846153845,2509.0,True,True,True
