date,bot,symbol,signal_type,price,volume,P,V,G,regime,would_fire,filter_reason,conviction_mult,next_day_return
2025-11-21,99 Cent Store,AMD,PUT,203.78,67421045,-0.16762517508253352,-0.0036660020865676296,0.35,NEUTRAL,True,PASSED,1.0502875525247601,5.530474040632059
2025-11-20,99 Cent Store,GOOGL,PUT,289.45,62024856,0.38339965270521376,0.0,0.39999999999999997,BULLISH_PUT_HEDGED,False,P too bullish for PUT (P=0.38),0.7,3.527379512869248
2025-11-25,99 Cent Store,GOOGL,CALL,323.44,88631553,0.4493070230345397,0.00666944768348827,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.12,-1.0790254761315883
2025-11-18,99 Cent Store,SPY,PUT,660.08,114410799,-0.12406551605790823,0.0,0.4,NEUTRAL,True,PASSED,1.0372196548173724,0.38631681008361934
2025-11-20,99 Cent Store,SPY,PUT,652.53,165142677,-0.15485764345872538,0.0,0.35,NEUTRAL,True,PASSED,1.0464572930376177,0.9961227836268065
2025-11-21,99 Cent Store,SPY,CALL,659.03,123955685,-0.12346097067097735,0.0013605107719766646,0.6,NEUTRAL,True,PASSED,1.0,1.4718601581111703
2025-11-18,99 Cent Store,QQQ,PUT,596.31,83326649,-0.11886632677220065,0.0,0.35,NEUTRAL,True,PASSED,1.0356598980316603,0.5970049135516862
2025-11-20,99 Cent Store,QQQ,PUT,585.67,117742495,-0.14371624506288153,0.0,0.35,NEUTRAL,True,PASSED,1.0431148735188644,0.7512763160141532
2025-11-21,99 Cent Store,QQQ,CALL,590.07,103343883,-0.14838787498421674,0.0025523217942671015,0.6,NEUTRAL,True,PASSED,1.0,2.55732370735674
2025-11-20,99 Cent Store,IWM,PUT,229.11,95441384,-0.2940206920630677,0.0,0.24999999999999997,NEUTRAL,True,PASSED,1.0882062076189203,2.832700449565702
2025-11-21,99 Cent Store,IWM,CALL,235.6,99447207,-0.1998897160846982,-0.000674607545348354,0.75,NEUTRAL,True,PASSED,1.0,1.8251273344652
2025-11-24,99 Cent Store,NFLX,CALL,106.97,62918202,-0.05792512882844002,0.0001399624428928114,0.65,NEUTRAL,True,PASSED,1.0,-2.402542769000648
2025-11-19,99 Cent Store,COIN,PUT,257.29,13287276,-0.30195333637524785,0.0,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.0905860009125743,-7.4351898635780715
2025-11-21,99 Cent Store,MARA,PUT,10.07,56497834,-0.7394007533412591,-0.007126925217307102,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.12,11.320754716981138
2025-11-18,99 Cent Store,NIO,PUT,5.98,59003448,-0.39131120051501367,0.0,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.117393360154504,-3.8461538461538534
2025-11-26,99 Cent Store,NIO,PUT,5.46,85890816,-0.4621761179431059,-0.0027455826533336197,0.35000000000000003,BEARISH_PUT_DRIVEN,True,PASSED,1.09,0.7326007326007333
2025-11-25,99 Cent Store,BABA,PUT,157.01,27097482,-0.3138670512104401,-0.006850319304148873,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.094160115363132,0.37577224380612917
2025-11-21,99 Cent Store,BAC,CALL,51.56,43817870,-0.01234901023614829,-0.0032516687631434053,0.65,NEUTRAL,True,PASSED,1.0,0.7176105508145799
2025-11-24,99 Cent Store,BAC,CALL,51.93,52838937,-0.057876317624599785,-0.004262184971339169,0.6,NEUTRAL,True,PASSED,1.0,1.0591180435201177
2025-11-24,99 Cent Store,DIS,PUT,101.94,15024845,-0.2954638090512221,0.005442910036046312,0.35,NEUTRAL,True,PASSED,1.0886391427153665,1.3439278006670636
2025-11-19,99 Cent Store,PYPL,PUT,60.11,25061788,-0.34610899923010346,0.0,0.35000000000000003,BEARISH_PUT_DRIVEN,True,PASSED,1.09,-3.3355514889369533
2025-11-18,99 Cent Store,CRM,PUT,233.5,8045145,-0.25464872244258324,0.0,0.35,NEUTRAL,True,PASSED,1.076394616732775,-2.4068522483940065
2025-11-19,99 Cent Store,CRM,PUT,227.88,9710689,-0.46013191884863663,0.0,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.12,-1.101456907144107
2025-11-19,99 Cent Store,MU,PUT,225.92,35256563,0.19038588216301622,0.0,0.35,NEUTRAL,True,PASSED,1.0,-10.86667847025495
2025-11-21,99 Cent Store,MU,CALL,207.37,36679299,0.034972664549246184,0.0036349925606501757,0.65,NEUTRAL,True,PASSED,1.010491799364774,7.985725997010176
2025-11-21,Gamma Ratio Bot,AAPL,CALL,271.49,58923249,0.306055697013376,-0.0028460671303875305,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.0918167091040127,1.6317359755423797
2025-11-24,Gamma Ratio Bot,AAPL,CALL,275.92,65497571,0.323353555772507,-0.00239716414153232,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.097006066731752,0.38054508553204236
2025-12-02,Gamma Ratio Bot,AAPL,CALL,286.19,53605388,0.37487708666504993,-0.0031378269251645784,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.112463125999515,
2025-11-20,Gamma Ratio Bot,MSFT,PUT,478.43,26802442,-0.3305779549293975,0.0,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.0991733864788193,-1.3188972263445022
