symbol,date,P,V,G,close,next_day_return,regime
NIO,2025-11-28 05:00:00,-0.4614425345290878,-0.00036048267223685176,0.5455,5.5,-5.818181818181823,NEUTRAL
NIO,2025-11-26 05:00:00,-0.4621761179431059,-0.0027455826533336197,0.5455,5.46,0.7326007326007333,NEUTRAL
BABA,2025-12-02 05:00:00,-0.1294786683821677,-0.006568485528225462,0.6308,161.13,,NEUTRAL
BABA,2025-12-01 05:00:00,-0.13185943978546175,-0.0072684484617960045,0.6308,164.26,-1.905515645927186,NEUTRAL
BABA,2025-11-28 05:00:00,-0.3404444097772752,-0.007258174285414434,0.6308,157.3,4.424666242848048,BEARISH_CALL_HEDGED
BABA,2025-11-26 05:00:00,-0.27506666301331223,-0.00590702273261361,0.6308,157.6,-0.19035532994922777,NEUTRAL
JPM,2025-12-02 05:00:00,-0.040709534660209566,-0.0007505167570696983,0.6561,307.88,,NEUTRAL
JPM,2025-12-01 05:00:00,0.0005116665340838758,-0.0008780642762309023,0.6561,308.92,-0.33665673960896686,NEUTRAL
JPM,2025-11-28 05:00:00,0.12215000855700976,-0.0009982341309496719,0.6561,313.08,-1.328733869937386,NEUTRAL
JPM,2025-11-26 05:00:00,0.045851846549908905,-0.001832717556103411,0.6561,307.64,1.768300611103887,NEUTRAL
BAC,2025-12-02 05:00:00,-0.017542833586614147,-0.003165777524985064,0.6663,53.19,,NEUTRAL
BAC,2025-12-01 05:00:00,0.02661885415369272,-0.0026441290916281515,0.6663,53.24,-0.09391435011270523,NEUTRAL
BAC,2025-11-28 05:00:00,0.10579814655643768,-0.0030329113671102356,0.6663,53.65,-0.764212488350413,NEUTRAL
BAC,2025-11-26 05:00:00,0.01861856411297972,-0.0038576031280768766,0.6663,52.99,1.245518022268346,NEUTRAL
